,accu,pre_micro,recall_micro,f1_micro,pre_macro,recall_macro,f1_macro
0,0.05623231204626553,0.05847791312907592,0.05475230414746544,0.05655381686202177,0.002458561699363625,0.005725273135083756,0.0017209403988141729
1,0.05537098560354374,0.056847545219638244,0.0532258064516129,0.05497709287796751,0.00028142349118632793,0.0049504950495049506,0.0005325715945677698
2,0.1688815060908084,0.1954595791805094,0.1830069124423963,0.189028381031713,0.02399911476501574,0.059352754314869596,0.02955636638989228
3,0.6457487387719946,0.6964747139165743,0.652102534562212,0.6735586362825013,0.4814599156580512,0.5080420965385908,0.4679576942573665
4,0.719453672942045,0.7727328657561215,0.7235023041474654,0.7473076694234545,0.5970210519837774,0.5911093287987855,0.5736264477220355
5,0.737849144825889,0.7919896640826873,0.7415322580645162,0.7659308621407748,0.6307761135495789,0.5978035622829566,0.5997197586882109
6,0.7490156269226037,0.8042943275501415,0.7530529953917051,0.7778306657940144,0.6450877447397739,0.5993672349243591,0.6065798842036141
7,0.7509843730773963,0.8053709856035437,0.7540610599078341,0.7788718986136729,0.6614254332453259,0.6082907606212729,0.6189539226380681
8,0.7543373938722776,0.8097699027931586,0.7581797235023041,0.783126078419706,0.6657366557949308,0.6086275945544916,0.6230927729020923
9,0.7478159222345269,0.8034637627660883,0.7522753456221198,0.7770274290474207,0.6651962779939875,0.6018287989295007,0.6192394441102383
10,0.7540605389442598,0.80973914113449,0.7581509216589861,0.783096328910573,0.6733185000988154,0.6047868848243448,0.6268664353045021
11,0.7552910052910053,0.8114002707025962,0.7597062211981567,0.7847028024037603,0.6744153612651764,0.6083946833708351,0.6238517392311513
12,0.7563676633444075,0.8128460686600222,0.7610599078341014,0.786101029333016,0.687823286177384,0.6097016841967566,0.6312394324209653
13,0.7550141503629876,0.8109388458225667,0.7592741935483871,0.7842565597667637,0.6783195732600115,0.604777164081625,0.6256723553859841
14,0.7510458963947336,0.8068783068783069,0.7554723502304147,0.7803296245611946,0.7024089010554211,0.6020414965285442,0.6275414704990075
15,0.7562138550510643,0.8122923588039868,0.7605414746543778,0.7855655381686202,0.7066895868325919,0.6176441966306593,0.6443002177068771
16,0.7572289897871293,0.8133382551987203,0.761520737327189,0.7865770214791455,0.6966356505486783,0.6115271350099979,0.6375026811771464
17,0.7539990156269226,0.8098314261104959,0.7582373271889401,0.7831855774379723,0.6895407707068687,0.6139372701997128,0.6352757196059355
18,0.7580903162298511,0.8143226282761167,0.7624423963133641,0.7875290057714048,0.7027423156161909,0.610938683528155,0.6390046397521615
19,0.7550449120216562,0.8114002707025962,0.7597062211981567,0.7847028024037603,0.7035304662963705,0.6102873900577841,0.6366528613474731
