,accu,pre_micro,recall_micro,f1_micro,pre_macro,recall_macro,f1_macro
0,0.8025716746646979,0.8618493909191584,0.8069412442396313,0.8334919973820433,0.8061713712270916,0.688223086206183,0.7236905840490344
1,0.8154915713055247,0.8754152823920266,0.8196428571428571,0.8466115309097401,0.8531758775929023,0.7074771860107552,0.750127154221471
2,0.8137996800787498,0.8727792463269195,0.8178283410138248,0.844410741368543,0.8530575822833808,0.7117425046372722,0.7554066423017313
3,0.810661990894549,0.8677878713479008,0.8144009216589861,0.8402472364198265,0.8203805618023906,0.701986946382632,0.7365358206060526
4,0.8170296542389566,0.8718897108271688,0.8215149769585254,0.8459530800486401,0.8228125464488748,0.7028116860482845,0.7364713430220498
5,0.815983757844223,0.8712895526041985,0.8200460829493088,0.844891539808303,0.8168452947268411,0.6990682024013809,0.733841924042965
6,0.8180140273163529,0.8723931258027032,0.8216877880184332,0.8462816291418231,0.819547775674786,0.7058615807495184,0.7401221754810935
7,0.8180447889750215,0.8707798347006618,0.8223502304147465,0.8458724021982255,0.8302166529504089,0.7043695345472322,0.7438760937352732
8,0.8210286698658792,0.8728418744861606,0.8256048387096774,0.8485664806619203,0.8274221055106822,0.7097048574723176,0.7460803141392452
9,0.8253968253968254,0.8735649592584739,0.8306163594470046,0.8515494662867434,0.843475655224597,0.7048620185715873,0.7461146288918318
