,accu,pre_micro,recall_micro,f1_micro,pre_macro,recall_macro,f1_macro
0,0.08631721422419097,0.09126984126984126,0.08545506912442397,0.08826679359790562,0.0030962881599338756,0.010353158279461289,0.0037890384558990145
1,0.2843915343915344,0.30893933800910545,0.2892569124423963,0.29877432022371636,0.10150814987511088,0.08411820481846988,0.06418429050749336
2,0.41968130921619295,0.4619785898855666,0.43254608294930874,0.44677812816088536,0.1705838600568003,0.14887642551721897,0.13316417062331024
3,0.5184569952011813,0.5656761412575366,0.5296370967741936,0.547063723448563,0.2518228475223133,0.19984730431531106,0.19223895624365878
4,0.5817952503999015,0.6309216192937123,0.5907258064516129,0.6101624323198667,0.3153506290434357,0.23760419042864656,0.23771374595968692
5,0.6148025101513473,0.6650670604158976,0.6226958525345622,0.643184387457607,0.355534556277887,0.2651539839687839,0.2696614726383897
6,0.6442721791559001,0.6956133874738526,0.6512960829493087,0.6727256500267745,0.4007235877778646,0.2968987221923183,0.30665710559217574
7,0.6684200812107789,0.7207764242647964,0.6748559907834102,0.6970607484976499,0.4232651135952576,0.32266908829958924,0.33688900487272166
8,0.6865694598252737,0.7396640826873385,0.6925403225806451,0.7153269471053728,0.45315580101906094,0.34570741893563384,0.36166991856683983
9,0.7011197243755384,0.7545834871416267,0.7065092165898618,0.729755459034926,0.47535395677235687,0.36619452429998306,0.38733154909214107
