,accu,pre_micro,recall_micro,f1_micro,pre_macro,recall_macro,f1_macro
2,0.5897625199950781,0.6388273655715516,0.5981278801843318,0.6178080561670732,0.23818380942375836,0.23363602949411366,0.2174790575106322
3,0.7092408022640581,0.7650116894302941,0.7162730414746544,0.7398405426310466,0.35736149117284977,0.3187209037461523,0.3170941185222523
4,0.7512612280054141,0.8082933431770641,0.7567972350230415,0.7816981019813174,0.4128403239094648,0.36600890221657073,0.37112435270194294
5,0.7727021040974529,0.8305955457118248,0.7776785714285714,0.8032664961028143,0.4876044560016394,0.4088067753682052,0.42219008287206433
6,0.7844838193675403,0.842561830933924,0.7888824884792627,0.8148390551555899,0.5208197655044153,0.4510177418715,0.4679279033840877
7,0.7917128091546696,0.8500369139904024,0.7958813364055299,0.822068185874933,0.5712406448985893,0.4816334015980715,0.4985235246211404
8,0.7910668143226283,0.849483204134367,0.7953629032258065,0.8215326947105374,0.6129168133314558,0.5067903389718332,0.5304602468982115
9,0.7932201304294327,0.8517288052171773,0.7974654377880185,0.8237044088772536,0.6575790858343276,0.5357581823691003,0.5634204136701136
10,0.792020425741356,0.8505291005291006,0.7963421658986175,0.8225441780210627,0.6834716489929155,0.5569218870271788,0.5894228255873865
11,0.7893749230958533,0.8479451212009351,0.7939228110599078,0.8200452192538822,0.7027789048298236,0.5746439284062819,0.6097930079109336
12,0.788390550018457,0.8470530330995447,0.7930875576036867,0.8191824834890223,0.7220379716491478,0.5935675158438455,0.629358620889815
13,0.7869755137196998,0.8454841885074443,0.7916186635944701,0.8176652585232344,0.7395047629420991,0.6025064857579632,0.6406916820155999
14,0.786790943767688,0.8450535252860835,0.7912154377880184,0.8172487653953711,0.7500368724738428,0.6127385173955003,0.6515770879978144
15,0.7843607727328658,0.8426541159099299,0.7889688940092165,0.8149283036829892,0.7577868167356753,0.6201517226640275,0.6611507863847499
16,0.7842992494155285,0.8427464008859358,0.7890552995391705,0.8150175522103886,0.7619166763460612,0.6232268167517144,0.6661596767936018
17,0.780115663836594,0.8383782453549895,0.7849654377880184,0.8107931219134884,0.7512344083994261,0.6280963969194177,0.6673496407571697
18,0.7792235757352036,0.837578442229605,0.7842165898617511,0.8100196346760278,0.7729627839770827,0.6343521008881288,0.6758293991536382
