,accu,pre_micro,recall_micro,f1_micro,pre_macro,recall_macro,f1_macro
0,0.7829149747754399,0.8406853697551372,0.7871255760368664,0.8130243350984709,0.7649896161722002,0.7064150538822289,0.7137239563728354
1,0.8148455764734834,0.8739079611172634,0.8182315668202765,0.8451538049622181,0.8256973672289561,0.7136685273083603,0.7441919163143886
2,0.8172757475083057,0.8763688938107542,0.8205357142857143,0.847533765692866,0.8262392979208332,0.7232047138273823,0.7549458686579477
3,0.8148148148148148,0.8738156761412575,0.8181451612903226,0.8450645564348189,0.8460316472876984,0.7256975217803258,0.7618473516684235
4,0.8123846437799926,0.8713855051064353,0.8158698156682027,0.842714345213304,0.8424067065705768,0.7063020219804912,0.7465601055932994
5,0.813276731881383,0.8730466346745417,0.8174251152073733,0.8443208187064913,0.849296231552751,0.7010689514392505,0.7424142625304253
6,0.8144764365694598,0.8734157745785652,0.817770737327189,0.8446778128160884,0.842376933110096,0.7122286191181656,0.7484377976546713
7,0.8131844469053772,0.8727082564291867,0.8171082949308756,0.8439935741060273,0.8456240414653694,0.7089779279393602,0.7485324277395762
8,0.8168143226282761,0.8764304171280916,0.8205933179723502,0.8475932647111323,0.8514082535918828,0.703236835060541,0.7458263309196395
9,0.815307001353513,0.8748923341946597,0.8191532258064517,0.8461057892544774,0.8430060702374131,0.7115470015000499,0.7485675296377101
10,0.8154608096468562,0.8747692875599853,0.8190380184331797,0.8459867912179448,0.8405722665590254,0.6909150553636172,0.7337876161602995
11,0.8160760428202288,0.8756921373200443,0.8199020737327188,0.8468792764919378,0.8380824902697538,0.7016773443447758,0.7381622767266333
12,0.8168758459456134,0.8764611787867602,0.8206221198156682,0.8476230142202654,0.8490494727552829,0.7077353386368611,0.7464813838399997
13,0.8183524055617079,0.8776916451335056,0.8217741935483871,0.8488129945855892,0.8566140523158587,0.7108186074817222,0.7544179546693843
14,0.8189984003937493,0.8783068783068783,0.8223502304147465,0.8494079847682514,0.8332477324806529,0.7075941712926788,0.7454569431151089
15,0.816906607604282,0.8767072720561092,0.820852534562212,0.8478610102933302,0.847308740290371,0.7119578827462857,0.7533459269605929
16,0.816568229358927,0.8762766088347483,0.8204493087557604,0.8474445171654666,0.8331449878980359,0.6989491735786427,0.7359482022974705
17,0.8168450842869448,0.8765842254214348,0.8207373271889401,0.8477420122567978,0.8377112720080891,0.6991633159990344,0.7401372848011067
18,0.8144456749107912,0.8742771010212871,0.8185771889400921,0.8455107990718153,0.8282764326196408,0.7042116739376191,0.7400944012317171
19,0.8165067060415898,0.8760920388827366,0.8202764976958525,0.8472660201106681,0.829802551651232,0.7013110264581474,0.737534068855423
